Topics;Alpha;Beta;min_df;max_df;top_n_words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
2;0.5;1;2;0.8;5;-0.29308399687765;2529.623436966135;8282;signal turbine vibration frequency bearing | forecasting wind management grid hydropower
2;0.7;1;2;0.8;5;-0.29308399687765;2529.9936329253837;8282;signal turbine vibration frequency bearing | forecasting wind management grid hydropower
2;1;1;2;0.8;5;-0.29308399687765;2530.546203492469;8282;signal turbine vibration frequency bearing | forecasting wind management grid hydropower
2;symmetric;1;2;0.8;5;-0.29308399687765;2529.623436966135;8282;signal turbine vibration frequency bearing | forecasting wind management grid hydropower
2;0.01;0.01;2;0.8;4;-0.29893449576991715;2729.454228871742;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.01;0.1;2;0.8;4;-0.29893449576991715;2546.769415060013;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.1;0.01;2;0.8;4;-0.29893449576991715;2727.774399082347;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.1;0.1;2;0.8;4;-0.29893449576991715;2545.3935495869778;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.5;0.01;2;0.8;4;-0.29893449576991715;2724.3707092360246;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.5;0.1;2;0.8;4;-0.29893449576991715;2544.3014554772517;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.7;0.01;2;0.8;4;-0.29893449576991715;2723.468300626601;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.7;0.1;2;0.8;4;-0.29893449576991715;2543.7632547727662;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;1;0.01;2;0.8;4;-0.29893449576991715;2723.1252787475423;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;1;0.1;2;0.8;4;-0.29893449576991715;2543.7816852902465;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;symmetric;0.01;2;0.8;4;-0.29893449576991715;2724.3707092360246;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;symmetric;0.1;2;0.8;4;-0.29893449576991715;2544.3014554772517;8282;signal vibration turbine frequency | wind forecasting hydropower management
2;0.01;1;2;0.8;7;-0.3025924639262998;2529.803867646309;8282;signal turbine vibration frequency bearing cnn sensor | forecasting wind management grid hydropower prediction renewable_energy
2;0.1;1;2;0.8;7;-0.3025924639262998;2529.0567949932133;8282;signal turbine vibration frequency bearing cnn sensor | forecasting wind management grid hydropower prediction renewable_energy
