Topics;Alpha;Beta;min_df;max_df;Top_N_Words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
1;1;0.01;2;0.8;4;0.5542537525225292;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;0.01;2;0.8;5;0.49965372265440405;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;0.01;2;0.8;7;0.4790632680536312;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;0.01;2;0.8;10;0.3528527666502159;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;1;0.1;2;0.8;4;0.5542537525225292;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;0.1;2;0.8;5;0.49965372265440405;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;0.1;2;0.8;7;0.4790632680536312;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;0.1;2;0.8;10;0.3528527666502159;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;1;0.3;2;0.8;4;0.5542537525225292;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;0.3;2;0.8;5;0.49965372265440405;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;0.3;2;0.8;7;0.4790632680536312;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;0.3;2;0.8;10;0.3528527666502159;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;1;0.5;2;0.8;4;0.5542537525225292;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;0.5;2;0.8;5;0.49965372265440405;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;0.5;2;0.8;7;0.4790632680536312;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;0.5;2;0.8;10;0.3528527666502159;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;1;1;2;0.8;4;0.5542537525225292;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;1;2;0.8;5;0.49965372265440405;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;1;2;0.8;7;0.4790632680536312;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;1;2;0.8;10;0.3528527666502159;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'algorithm', 'monitoring', 'time']]
1;1;symmetric;2;0.8;4;0.5542537525225292;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;1;symmetric;2;0.8;5;0.49965372265440405;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;1;symmetric;2;0.8;7;0.4790632680536312;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;1;symmetric;2;0.8;10;0.3528527666502159;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'algorithm', 'monitoring', 'time']]
1;symmetric;0.01;2;0.8;4;0.5542537525225292;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;0.01;2;0.8;5;0.49965372265440405;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;0.01;2;0.8;7;0.4790632680536312;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;0.01;2;0.8;10;0.3528527666502159;1339.0833209926666;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;symmetric;0.1;2;0.8;4;0.5542537525225292;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;0.1;2;0.8;5;0.49965372265440405;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;0.1;2;0.8;7;0.4790632680536312;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;0.1;2;0.8;10;0.3528527666502159;1016.2700334763197;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;symmetric;0.3;2;0.8;4;0.5542537525225292;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;0.3;2;0.8;5;0.49965372265440405;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;0.3;2;0.8;7;0.4790632680536312;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;0.3;2;0.8;10;0.3528527666502159;921.3258582339405;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;symmetric;0.5;2;0.8;4;0.5542537525225292;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;0.5;2;0.8;5;0.49965372265440405;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;0.5;2;0.8;7;0.4790632680536312;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;0.5;2;0.8;10;0.3528527666502159;891.9539729765909;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'monitoring', 'algorithm', 'time']]
1;symmetric;1;2;0.8;4;0.5542537525225292;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;1;2;0.8;5;0.49965372265440405;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;1;2;0.8;7;0.4790632680536312;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;1;2;0.8;10;0.3528527666502159;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'algorithm', 'monitoring', 'time']]
1;symmetric;symmetric;2;0.8;4;0.5542537525225292;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature']]
1;symmetric;symmetric;2;0.8;5;0.49965372265440405;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power']]
1;symmetric;symmetric;2;0.8;7;0.4790632680536312;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine']]
1;symmetric;symmetric;2;0.8;10;0.3528527666502159;868.98223093427;1189;[['system', 'hydropower', 'fault', 'feature', 'power', 'maintenance', 'turbine', 'algorithm', 'monitoring', 'time']]
2;0.01;0.01;2;0.8;4;0.6200012576860705;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'maintenance', 'hydropower', 'power']]
2;0.01;0.01;2;0.8;5;0.5524458589723142;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant']]
2;0.01;0.01;2;0.8;7;0.49118658557369277;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'unit', 'turbine'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant', 'monitoring', 'energy']]
2;0.01;0.01;2;0.8;10;0.49869964968972985;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'unit', 'turbine', 'lstm', 'fault_diagnosis', 'hydroelectric'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant', 'monitoring', 'energy', 'time', 'technology', 'renewable_energy']]
2;0.01;0.1;2;0.8;4;0.6200012576860706;979.3579198206966;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'maintenance', 'power']]
