Topics;Alpha;Beta;min_df;max_df;Top_N_Words;Coherence;Perplexity;Vocab_Size;Top_words_per_topic
2;0.01;0.01;2;0.8;5;-1.0136897737766084;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant']]
2;0.01;0.01;2;0.8;7;-1.1084769773400276;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'unit', 'turbine'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant', 'monitoring', 'energy']]
2;0.01;0.01;2;0.8;10;-1.4939280743634558;1366.9117419599568;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'unit', 'turbine', 'lstm', 'fault_diagnosis', 'hydroelectric'], ['system', 'maintenance', 'hydropower', 'power', 'hydropower_plant', 'monitoring', 'energy', 'time', 'technology', 'renewable_energy']]
2;0.01;0.1;2;0.8;4;-0.8713355159326586;979.3579198206966;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'maintenance', 'power']]
2;0.01;0.1;2;0.8;5;-1.0476759817873103;979.3579198206966;1189;[['feature', 'fault', 'signal', 'algorithm', 'turbine'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant']]
2;0.01;0.1;2;0.8;7;-1.1136695673555652;979.3579198206966;1189;[['feature', 'fault', 'signal', 'algorithm', 'turbine', 'prediction', 'unit'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'monitoring', 'energy']]
2;0.01;0.1;2;0.8;10;-1.4753266509529754;979.3579198206966;1189;[['feature', 'fault', 'signal', 'algorithm', 'turbine', 'prediction', 'unit', 'lstm', 'fault_diagnosis', 'hydroelectric'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'monitoring', 'energy', 'time', 'technology', 'real']]
2;0.01;0.3;2;0.8;4;-0.8713355159326586;861.0585568138707;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'maintenance', 'power']]
2;0.01;0.3;2;0.8;5;-1.0476759817875145;861.0585568138707;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant']]
2;0.01;0.3;2;0.8;7;-1.1097096680527938;861.0585568138707;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm', 'fault_diagnosis', 'prediction'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'energy', 'monitoring']]
2;0.01;0.3;2;0.8;10;-1.489710209735524;861.0585568138707;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm', 'fault_diagnosis', 'prediction', 'hydroelectric', 'turbine', 'unit'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'energy', 'monitoring', 'technology', 'time', 'turbine']]
2;0.01;0.5;2;0.8;4;-0.8713355159326586;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'maintenance', 'power']]
2;0.01;0.5;2;0.8;5;-1.0476759817875145;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant']]
2;0.01;0.5;2;0.8;7;-1.108348753437557;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm', 'prediction', 'fault_diagnosis'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'energy', 'monitoring']]
2;0.01;0.5;2;0.8;10;-1.5084767704059905;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm', 'prediction', 'fault_diagnosis', 'hydroelectric', 'hydropower', 'turbine'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'energy', 'monitoring', 'technology', 'turbine', 'renewable_energy']]
2;0.01;1;2;0.8;4;-0.8664321409307474;823.0792154173597;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'power', 'maintenance']]
2;0.01;1;2;0.8;5;-1.0135262413332025;823.0792154173597;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction'], ['system', 'hydropower', 'power', 'maintenance', 'hydropower_plant']]
2;0.01;1;2;0.8;7;-1.0824313876286642;823.0792154173597;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'lstm', 'unit'], ['system', 'hydropower', 'power', 'maintenance', 'hydropower_plant', 'energy', 'monitoring']]
2;0.01;1;2;0.8;10;-1.2078687046562662;823.0792154173597;1189;[['feature', 'fault', 'signal', 'algorithm', 'prediction', 'lstm', 'unit', 'turbine', 'fault_diagnosis', 'hydropower'], ['system', 'hydropower', 'power', 'maintenance', 'hydropower_plant', 'energy', 'monitoring', 'technology', 'turbine', 'renewable_energy']]
2;0.01;symmetric;2;0.8;4;-0.8713355159326586;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm'], ['system', 'hydropower', 'maintenance', 'power']]
2;0.01;symmetric;2;0.8;5;-1.0476759817875145;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant']]
2;0.01;symmetric;2;0.8;7;-1.108348753437557;835.0914615067545;1189;[['feature', 'fault', 'signal', 'algorithm', 'lstm', 'prediction', 'fault_diagnosis'], ['system', 'hydropower', 'maintenance', 'power', 'hydropower_plant', 'energy', 'monitoring']]
